Date,Time, Total Bill,Tip, Total transaction
2025-01-08, 15:19:01, 33.12, 1.68, 34.80
2025-01-08, 15:19:16, 212.10, 10.84, 222.94
2025-01-08, 15:19:27, 232.00, 14.11, 246.11
2025-01-08, 15:33:15, 232.00, 14.11, 246.11
2025-01-08, 15:34:19, 232.00, 14.11, 246.11
2025-01-08, 15:35:01, 232.00, 14.11, 246.11
2025-01-08, 15:35:33, 232.00, 14.11, 246.11
2025-01-08, 15:39:14, 232.00, 14.11, 246.11
2025-01-08, 15:42:42, 232.00, 14.11, 246.11
2025-01-08, 15:45:01, 232.00, 14.11, 246.11
2025-01-08, 15:45:17, 232.00, 14.11, 246.11
